step,ar_loss,diff_loss,conf_accuracy,learning_rate
14100,3.3775,4.2592,0.8439,0.00026
14200,3.4674,3.7558,0.8439,0.000259
14300,3.4555,4.1783,0.8439,0.000259
14400,3.3862,4.4869,0.8439,0.000258
14500,3.4503,4.497,0.8439,0.000257
14600,3.4698,5.1099,0.8439,0.000257
14700,3.4273,3.3744,0.8439,0.000256
14800,3.3956,4.5127,0.8439,0.000255
14900,3.403,4.2598,0.8439,0.000255
15000,3.3497,4.8755,0.8439,0.000254
15100,3.3951,5.5428,0.8518,0.000253
15200,3.3507,4.429,0.8518,0.000253
15300,3.3245,3.5461,0.8518,0.000252
15400,3.2471,4.4566,0.8518,0.000251
15500,3.3993,4.4267,0.8518,0.000251
15600,3.455,4.987,0.8518,0.00025
15700,3.365,5.6212,0.8518,0.000249
15800,3.3417,5.2005,0.8518,0.000249
15900,3.4059,4.3354,0.8518,0.000248
16000,3.3934,3.8364,0.8518,0.000247
16100,3.3923,4.9771,0.8523,0.000246
16200,3.3442,4.3524,0.8523,0.000246
16300,3.381,4.2144,0.8523,0.000245
16400,3.4162,4.9733,0.8523,0.000244
16500,3.4202,5.0288,0.8523,0.000244
16600,3.3731,3.9005,0.8523,0.000243
16700,3.4708,4.2886,0.8523,0.000242
16800,3.4902,4.731,0.8523,0.000241
16900,3.392,4.0578,0.8523,0.000241
17000,3.434,4.6117,0.8523,0.00024
17100,3.3535,4.5617,0.8429,0.000239
17200,3.5012,5.0026,0.8429,0.000239
17300,3.3293,5.726,0.8429,0.000238
17400,3.4331,4.1433,0.8429,0.000237
17500,3.358,4.5958,0.8429,0.000236
17600,3.4428,4.2883,0.8429,0.000236
17700,3.4093,4.1482,0.8429,0.000235
17800,3.5112,4.4289,0.8429,0.000234
17900,3.4825,4.2898,0.8429,0.000233
18000,3.4664,4.4199,0.8429,0.000233
18100,3.434,4.1716,0.8551,0.000232
18200,3.4707,4.1276,0.8551,0.000231
18300,3.3901,4.903,0.8551,0.00023
18400,3.4674,5.0852,0.8551,0.000229
18500,3.3693,3.7138,0.8551,0.000229
18600,3.3803,4.1829,0.8551,0.000228
18700,3.2973,4.4839,0.8551,0.000227
18800,3.5156,5.3533,0.8551,0.000226
18900,3.488,3.8436,0.8551,0.000226
19000,3.4857,4.1698,0.8551,0.000225
19100,3.4502,5.0927,0.0,0.000224
19200,3.3429,4.8248,0.0,0.000223
19300,3.3705,4.4238,0.0,0.000222
19400,3.4287,4.6363,0.0,0.000222
19500,3.5635,4.2295,0.0,0.000221
19600,3.4043,4.9685,0.0,0.00022
19700,3.3429,5.0891,0.0,0.000219
19800,3.4515,4.0863,0.0,0.000218
19900,3.6802,4.9107,0.0,0.000217
20000,3.3832,4.101,0.0,0.000217
20100,3.3988,4.5495,0.8342,0.000216
20200,3.337,5.212,0.8342,0.000215
20300,3.3048,3.5638,0.8342,0.000214
20400,3.4666,4.4425,0.8342,0.000213
20500,3.2631,3.4546,0.8342,0.000213
20600,3.303,4.7331,0.0,0.000212
20700,3.2518,4.8781,0.0,0.000211
20800,3.3709,3.7757,0.0,0.00021
20900,3.5852,4.6796,0.0,0.000209
21000,3.3022,3.8247,0.0,0.000208
21100,3.4461,4.9239,0.0,0.000208
21200,3.3465,4.6269,0.0,0.000207
21300,3.3721,4.1893,0.0,0.000206
21400,3.4259,4.4211,0.0,0.000205
21500,3.5709,3.939,0.0,0.000204
